MONTH,UNRATE,UE_BENEFITS_WEB_SEARCH
2011-11-01,8.6,9
2011-12-01,8.5,10
2012-01-01,8.3,11
2012-02-01,8.3,9
2012-03-01,8.2,7
2012-04-01,8.2,8
2012-05-01,8.2,7
2012-06-01,8.2,8
2012-07-01,8.2,9
2012-08-01,8.1,8
2012-09-01,7.8,8
2012-10-01,7.8,9
2012-11-01,7.7,9
2012-12-01,7.9,14
2013-01-01,8.0,14
2013-02-01,7.7,9
2013-03-01,7.5,9
2013-04-01,7.6,7
2013-05-01,7.5,8
2013-06-01,7.5,8
2013-07-01,7.3,9
2013-08-01,7.2,6
2013-09-01,7.2,8
2013-10-01,7.2,9
2013-11-01,6.9,7
2013-12-01,6.7,9
2014-01-01,6.6,24
2014-02-01,6.7,18
2014-03-01,6.7,14
2014-04-01,6.2,15
2014-05-01,6.3,10
2014-06-01,6.1,9
2014-07-01,6.2,7
2014-08-01,6.1,6
2014-09-01,5.9,6
2014-10-01,5.7,6
2014-11-01,5.8,5
2014-12-01,5.6,5
2015-01-01,5.7,6
2015-02-01,5.5,5
2015-03-01,5.4,5
2015-04-01,5.4,5
2015-05-01,5.6,4
2015-06-01,5.3,5
2015-07-01,5.2,5
2015-08-01,5.1,5
2015-09-01,5.0,4
2015-10-01,5.0,4
2015-11-01,5.1,4
2015-12-01,5.0,5
2016-01-01,4.8,5
2016-02-01,4.9,5
2016-03-01,5.0,4
2016-04-01,5.1,4
2016-05-01,4.8,5
2016-06-01,4.9,5
2016-07-01,4.8,4
2016-08-01,4.9,4
2016-09-01,5.0,4
2016-10-01,4.9,4
2016-11-01,4.7,4
2016-12-01,4.7,4
2017-01-01,4.7,5
2017-02-01,4.6,4
2017-03-01,4.4,4
2017-04-01,4.4,4
2017-05-01,4.4,4
2017-06-01,4.3,4
2017-07-01,4.3,4
2017-08-01,4.4,4
2017-09-01,4.3,4
2017-10-01,4.2,4
2017-11-01,4.2,4
2017-12-01,4.1,4
2018-01-01,4.0,5
2018-02-01,4.1,4
2018-03-01,4.0,3
2018-04-01,4.0,3
2018-05-01,3.8,3
2018-06-01,4.0,3
2018-07-01,3.8,4
2018-08-01,3.8,3
2018-09-01,3.7,3
2018-10-01,3.8,4
2018-11-01,3.8,3
2018-12-01,3.9,4
2019-01-01,4.0,5
2019-02-01,3.8,4
2019-03-01,3.8,3
2019-04-01,3.6,4
2019-05-01,3.6,3
2019-06-01,3.6,4
2019-07-01,3.7,4
2019-08-01,3.7,3
2019-09-01,3.5,3
2019-10-01,3.6,4
2019-11-01,3.6,4
2019-12-01,3.6,4
2020-01-01,3.5,5
2020-02-01,3.5,4
2020-03-01,4.4,48
2020-04-01,14.7,100
2020-05-01,13.2,57
2020-06-01,11.0,47
2020-07-01,10.2,55
2020-08-01,8.4,61
2020-09-01,7.9,41
2020-10-01,6.9,29
2020-11-01,6.7,24
2020-12-01,6.7,35
2021-01-01,6.4,38
2021-02-01,6.2,30
2021-03-01,6.0,31
2021-04-01,6.0,23
2021-05-01,5.8,25
2021-06-01,5.9,21
2021-07-01,5.4,17
2021-08-01,5.2,17
2021-09-01,4.7,15
2021-10-01,4.6,7
2021-11-01,4.2,7
2021-12-01,3.9,7
2022-01-01,4.0,7
2022-02-01,3.8,6
2022-03-01,3.6,5
2022-04-01,3.6,5
2022-05-01,3.6,4
2022-06-01,3.6,5
2022-07-01,3.5,5
2022-08-01,3.7,5
